"","Clus 1","Clus 2","Clus 3","Clus 4","Clus 5","Clus 6","Clus 7","Clus 8","Clus 9","Clus 10","Clus 11","Clus 12"
"Obj 1",8.58416095638488e-06,0.000172018335513588,5.81866821851728e-06,2.00054592504408e-05,0.000417438291145962,0.00143850551633102,8.52988074814031e-05,0.0100020781988159,0.987754467163795,3.18047514674686e-05,5.08536025804563e-05,1.31270444436298e-05
"Obj 2",8.32477526387969e-06,0.000167324766405016,5.64143004689562e-06,1.94154856605884e-05,0.0004067536325211,0.00140394302114693,8.28737627058082e-05,0.00983758419994597,0.987975153939783,3.08716817419042e-05,4.93794020208034e-05,1.27339027583574e-05
"Obj 3",7.90730235082331e-06,0.000159419229674278,5.35714336201696e-06,1.84531731340889e-05,0.000388009652317784,0.00134290216879226,7.88840818388897e-05,0.00946531280014042,0.988445326025812,2.93551850555427e-05,4.69741869562629e-05,1.20990505656682e-05
"Obj 4",7.74476876232207e-06,0.000156538898894434,5.24592433958582e-06,1.80835465771877e-05,0.000381551015700587,0.00132548231973869,7.74545634582632e-05,0.00937003341123423,0.988571133454839,2.87858688439604e-05,4.60924868043175e-05,1.18537408076498e-05
"Obj 5",7.0579684560617e-06,0.000143152533534614,4.77922381181049e-06,1.64920792324619e-05,0.000349379813994226,0.00121599094669114,7.07041060693722e-05,0.00865630675250235,0.989457012389463,2.62589205227477e-05,4.20588309735397e-05,1.08064347483459e-05
"Obj 6",6.87568728382211e-06,0.000139884994718259,4.65485627429568e-06,1.60767001330343e-05,0.000342014549244833,0.00119326261232373,6.90328825729821e-05,0.00856722191723608,0.989583802417552,2.56073417654779e-05,4.1035669662186e-05,1.05303712336364e-05
"Obj 7",6.69381906039357e-06,0.000136552529588903,4.53064992165356e-06,1.56583996394513e-05,0.00033416245219043,0.00116983667275315,6.73699703890665e-05,0.00842396175584985,0.989766001254022,2.49576246043086e-05,4.00203417263197e-05,1.02545302549887e-05
"Obj 8",6.1002564450178e-06,0.000124868596280701,4.12770558272493e-06,1.42810301814941e-05,0.000306081550542766,0.00107431884783239,6.15157571999393e-05,0.00779364622280395,0.990546416542386,2.27700156836957e-05,3.65247744470528e-05,9.3487006143996e-06
"Obj 9",5.84284044595981e-06,0.000119970583778882,3.95259298464687e-06,1.36868941216778e-05,0.000294502067178145,0.00103617987266975,5.90477244378162e-05,0.00757523885475275,0.990825756338482,2.18301097690362e-05,3.50353951611118e-05,8.95672621823308e-06
"Obj 10",5.50985665774636e-06,0.000113492078934528,3.72621543937504e-06,1.29153191963868e-05,0.000278974390186538,0.000983738095694192,5.5791734422712e-05,0.00724176652944431,0.99124194324709,2.06063422019821e-05,3.30874846898425e-05,8.44870604269143e-06
